PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
0.44405988639309396,0.6669695055832788,-0.9444602773993249,-0.12944426463301423,-1.032466119268894,1.0229976945705388,-0.011514899352632134,0.3647409213578193,-0.3213755729067148,-1.179183662257926,0.5925659313438031,1.5269752475239462,0.8992513596969213,-0.4114981337304874,0.5155671558400122
2.0170018026943555,0.3069659556845494,0.7820304721671029,-1.2978563149202662,-1.3398166209362876,0.009481159172517866,0.029270070777016162,0.4743884468508322,1.0864961612676935,1.433747577383363,0.8235542444970377,0.5188647023837594,0.8839951279582359,-0.9433880011414543,0.06716948684300503
-0.5755401782928179,0.7340249080596406,-0.8394287348642893,1.7971359309307613,-0.8240890567534277,0.0727737758664549,0.29612796781085277,-0.629143075125678,-2.5248118788755423,-0.009213123291042347,0.81476991011365,-0.37672411891322094,-0.24126257243823113,-0.45103389646752207,0.05864757311539804
-0.7304690655558483,2.6140022678097834,0.7743803369060223,0.4810751005831633,-0.2019720562840866,0.2816842821155066,-1.3483860608854181,-1.9949617838286018,-0.6778161383506981,1.1320958744938874,1.2774964199553542,-0.33968469769547316,-2.475058433718685,0.9404193273953034,0.5910208491167649
-2.008228895691518,0.10587796198983694,0.8136083949356002,-0.27201734135729144,2.5278115063819673,0.1443832751498548,-0.2560226451158959,0.1572064424920168,1.340174418832639,-0.20440406434368363,0.23175574976200453,-1.2310208468158836,-0.6650726871375912,-1.0747667314748466,0.03510476532723922
-0.21372219162964734,0.186394941101224,-0.18648511703054108,-0.6680703194630754,-0.46216031467940916,-3.441286912901827,-0.22426908114328606,0.19752077143810004,-0.6677809062207338,0.13413026784428198,1.7643669211654764,0.5095801934451378,-1.0021377656033033,-0.4046654810457195,-0.30520551110071814
6.814175016977343,2.2438631566057357,2.4839721132722596,2.4013784008895844,-0.47738357121580977,2.7576411053338723,-1.6441724020244914,-0.670700224153363,1.9962161607317714,-0.8212277003685466,-0.9365800121936533,-0.1711324730498317,0.7367567667876123,0.4958276472460845,-2.4289490271693674
2.4257182599819167,0.7793104304375581,-0.46150492459475007,1.7084797741114086,-0.22417733906411672,-0.2779989903218204,0.17495266271690302,-0.05532983659331395,-0.0038029516238525757,0.5313391417657362,-1.2855863543077555,0.6643623025846926,0.2967303746734184,-0.6509029116029466,-0.6005885534257078
-1.2455367552044259,-1.0347254394552392,-0.2590918753065752,-1.4570077140135178,-0.9454461696764823,-1.7683954611193813,-0.1167895867801449,-0.764354367477834,-1.5589801618108197,1.6809862633130463,-0.25792336326850757,-0.5006254010365454,-0.5898689687499112,-0.5847451984508261,-0.2020142506420354
-2.0988907966121326,0.6645656053615492,0.8880021149302849,-0.26488640715446693,1.805598782021053,0.4913181828809466,-1.336416387068757,-1.4403029554678644,1.4404602718082202,0.8959036268685119,1.0879990869078293,1.4434399388915988,0.3728611435825996,0.9593873346091545,-0.016486952194668312
0.2603406293166505,-1.3296916944633288,1.1053987052490408,-1.4590720400171728,-1.7932269876233966,1.0188283779504912,1.5815456463067197,0.33417454649966505,1.095766082317292,-1.234363527379754,-0.1937423971647739,-0.248635207856512,-1.4991700386655298,0.6402197405489969,0.9178660903023227
